doi	country_code
10.1002/ajb2.16082	CA
10.1002/ar.25001	FR
10.1002/arch.21901	CN
10.1002/ece3.8612	ZW
10.1002/fedr.202000036	IR
10.1002/fedr.202100021	IR
10.1002/fedr.202100026	AE
10.1002/fedr.202100034	IN
10.1002/fedr.202100039	IQ
10.1002/fedr.202100043	BR
10.1002/fedr.202100050	IN
10.1002/fedr.202100052	IR
10.1002/fedr.202200002	CN
10.1002/fedr.202200004	BR
10.1002/fedr.202200006	IN
10.1002/fedr.202200008	IR
10.1002/fedr.202200012	IN
10.1002/fedr.202200023	IR
10.1002/fedr.202200034	IN
10.1002/jemt.24240	IN
10.1002/pld3.369	QA
10.1002/tax.12660	CH
10.1002/tax.12661	PT
10.1002/tax.12684	CL
10.1002/tax.12794	IN
10.1002/tax.12795	BR
10.1002/tax.12797	MG
10.1002/tax.12819	BR
10.1002/tax.12826	CL
10.1007/978-981-16-7427-3	JP
10.1007/s00203-021-02638-3	CN
10.1007/s00203-021-02674-z	CN
10.1007/s00203-021-02696-7	KR
10.1007/s00203-021-02715-7	NZ
10.1007/s00203-021-02738-0	IR
10.1007/s00203-021-02744-2	CN
10.1007/s00203-021-02750-4	CN
10.1007/s00203-021-02753-1	CN
10.1007/s00203-022-02758-4	CN
10.1007/s00203-022-02783-3	CN
10.1007/s00203-022-02789-x	CN
10.1007/s00203-022-02790-4	KR
10.1007/s00203-022-02791-3	KR
10.1007/s00203-022-02808-x	CN
10.1007/s00203-022-02816-x	CN
10.1007/s00203-022-02818-9	CN
10.1007/s00203-022-02841-w	IN
10.1007/s00203-022-02859-0	TW
10.1007/s00203-022-02865-2	IN
10.1007/s00203-022-02867-0	CN
10.1007/s00203-022-02869-y	CN
10.1007/s00203-022-02895-w	CN
10.1007/s00203-022-02898-7	CN
10.1007/s00203-022-02908-8	CM
10.1007/s00203-022-02963-1	CN
10.1007/s00203-022-02980-0	CN
10.1007/s00203-022-03007-4	CA
10.1007/s00203-022-03042-1	KR
10.1007/s00203-022-03050-1	CN
10.1007/s00203-022-03056-9	CN
10.1007/s00203-022-03101-7	CN
10.1007/s00203-022-03109-z	KR
10.1007/s00203-022-03116-0	IN
10.1007/s00203-022-03119-x	CN
10.1007/s00203-022-03150-y	CN
10.1007/s00203-022-03152-w	CR
10.1007/s00203-022-03188-y	CN
10.1007/s00203-022-03192-2	CN
10.1007/s00203-022-03202-3	CN
10.1007/s00203-022-03228-7	CN
10.1007/s00203-022-03237-6	IN
10.1007/s00203-022-03263-4	CN
10.1007/s00203-022-03266-1	BR
10.1007/s00203-022-03273-2	CN
10.1007/s00203-022-03293-y	TW
10.1007/s00203-022-03305-x	KR
10.1007/s00203-022-03343-5	KR
10.1007/s00203-022-03348-0	CN
10.1007/s00284-021-02739-8	SA
10.1007/s00284-021-02740-1	IN
10.1007/s00284-021-02745-w	CN
10.1007/s00284-021-02753-w	KR
10.1007/s00284-022-02763-2	CN
10.1007/s00284-022-02808-6	CN
10.1007/s00284-022-02814-8	KR
10.1007/s00284-022-02819-3	CN
10.1007/s00284-022-02838-0	NG
10.1007/s00284-022-02846-0	CN
10.1007/s00284-022-02860-2	KR
10.1007/s00284-022-02871-z	CM
10.1007/s00284-022-02997-0	CN
10.1007/s00284-022-03007-z	CN
10.1007/s00284-022-03020-2	CN
10.1007/s00284-022-03037-7	CN
10.1007/s00284-022-03051-9	CN
10.1007/s00284-022-03096-w	IN
10.1007/s00284-022-03134-7	CN
10.1007/s00284-022-03142-7	CN
10.1007/s00300-022-03017-4	US
10.1007/s00343-021-1111-0	CN
10.1007/s00343-021-1154-2	CN
10.1007/s00436-021-07396-1	BR
10.1007/s00436-021-07419-x	VN
10.1007/s00436-022-07425-7	SO
10.1007/s00436-022-07620-6	TH
10.1007/s00606-021-01796-7	IS
10.1007/s00606-021-01802-y	CN
10.1007/s00606-022-01805-3	BR
10.1007/s00705-021-05324-3	CA
10.1007/s00705-022-05548-x	CZ
10.1007/s00705-022-05611-7	PK
10.1007/s00792-022-01275-y	CN
10.1007/s00792-022-01280-1	CN
10.1007/s00792-022-01283-y	IN
10.1007/s10228-021-00850-1	JO
10.1007/s10228-022-00882-1	IN
10.1007/s10228-022-00899-6	CN
10.1007/s10228-022-00901-1	CN
10.1007/s10327-022-01084-3	JP
10.1007/s10482-021-01678-5	TR
10.1007/s10482-021-01688-3	CN
10.1007/s10482-021-01689-2	CN
10.1007/s10482-021-01695-4	CN
10.1007/s10482-021-01697-2	VN
10.1007/s10482-021-01700-w	KR
10.1007/s10482-021-01704-6	CN
10.1007/s10482-021-01707-3	IT
10.1007/s10482-022-01724-w	CN
10.1007/s10482-022-01728-6	JP
10.1007/s10482-022-01731-x	CN
10.1007/s10482-022-01734-8	PL
10.1007/s10482-022-01741-9	TH
10.1007/s10482-022-01742-8	CN
10.1007/s10482-022-01744-6	TH
10.1007/s10482-022-01749-1	CN
10.1007/s10482-022-01754-4	CN
10.1007/s10482-022-01756-2	DE
10.1007/s10482-022-01763-3	CN
10.1007/s10482-022-01768-y	TW
10.1007/s10482-022-01771-3	CN
10.1007/s10482-022-01786-w	CN
10.1007/s10482-022-01794-w	IN
10.1007/s10482-022-01800-1	KR
10.1007/s10722-022-01454-y	TN
10.1007/s10914-022-09634-4	AR
10.1007/s11033-022-07302-7	IN
10.1007/s11230-021-10002-8	AU
10.1007/s11230-021-10013-5	JP
10.1007/s11230-021-10014-4	MX
10.1007/s11230-021-10015-3	US
10.1007/s11230-021-10016-2	BR
10.1007/s11230-021-10018-0	BR
10.1007/s11230-022-10021-z	TN
10.1007/s11230-022-10022-y	NZ
10.1007/s11230-022-10023-x	AU
10.1007/s11230-022-10028-6	US
10.1007/s11230-022-10034-8	AU
10.1007/s11230-022-10038-4	AU
10.1007/s11230-022-10044-6	IR
10.1007/s11230-022-10052-6	PH
10.1007/s11230-022-10054-4	ID
10.1007/s11230-022-10063-3	TN
10.1007/s11230-022-10068-y	US
10.1007/s11230-022-10078-w	US
10.1007/s11557-021-01675-y	CN
10.1007/s11557-021-01748-y	TW
10.1007/s11557-021-01751-3	IN
